SG_UF;NO_MUNICIPIO;CO_ENTIDADE;NO_ENTIDADE
RO;Alta Floresta D'Oeste;11022558;EIEEF HAP BITT TUPARI
RO;Alta Floresta D'Oeste;11024275;CEEJA LUIZ VAZ DE CAMOES
RO;Alta Floresta D'Oeste;11024291;EMMEF 7 DE SETEMBRO
RO;Alta Floresta D'Oeste;11024666;EMEIEF BOA ESPERANCA
RO;Alta Floresta D'Oeste;11024682;EEEFM EURIDICE LOPES PEDROSO
RO;Alta Floresta D'Oeste;11024917;EMEIEF JOSE BASILIO DA GAMA
RO;Alta Floresta D'Oeste;11024968;EEEMTI JUSCELINO KUBITSCHEK DE OLIVEIRA
RO;Alta Floresta D'Oeste;11025034;EMMEF MALBA TAHAN
RO;Alta Floresta D'Oeste;11025115;EMMEF MARTIM AFONSO DE SOUZA
RO;Alta Floresta D'Oeste;11025310;EMEIEF PEDRO ALEIXO
RO;Alta Floresta D'Oeste;11025352;EMEIEF POTY
RO;Alta Floresta D'Oeste;11025476;EMMEF SAO JORGE
RO;Alta Floresta D'Oeste;11025620;EEEF TANCREDO DE ALMEIDA NEVES
RO;Alta Floresta D'Oeste;11025638;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM XI
RO;Alta Floresta D'Oeste;11025654;EMEIEF FLORESTA ENCANTADA
RO;Alta Floresta D'Oeste;11037962;EIEEFM KON KOATT TUPARI
RO;Alta Floresta D'Oeste;11038047;EIEEF SAW D JO TUPARI
RO;Alta Floresta D'Oeste;11038373;EIEEFM BOATT GERAINNY
RO;Alta Floresta D'Oeste;11039493;CRECHE MUNICIPAL CANTINHO DA ALEGRIA
RO;Alta Floresta D'Oeste;11046236;EIEEF MEKITOM TUPARI
RO;Alta Floresta D'Oeste;11046244;EIEEF AMEN KOARE TUPARI
RO;Alta Floresta D'Oeste;11046252;EIEEFM ANOMAE TUPARI
RO;Alta Floresta D'Oeste;11046864;CENTRO EDUCACIONAL DR ANTONIO LAZARO DE MOURA
RO;Alta Floresta D'Oeste;11047402;EMEI MONTEIRO LOBATO
RO;Alta Floresta D'Oeste;11047461;EMEIEF 17 DE JUNHO
RO;Alta Floresta D'Oeste;11049782;EMMEF HERBERT JOSE DE SOUSA
RO;Alta Floresta D'Oeste;11050594;EMEF MARIOMA PEREIRA DA SILVA
RO;Alta Floresta D'Oeste;11051264;CRECHE MUNICIPAL HEITOR MOREIRA UGOLINI
RO;Alta Floresta D'Oeste;11025280;EMEIEF PADRE FEIJO
RO;Alta Floresta D'Oeste;11024828;EMEIEF IZIDORO STEDILE
RO;Alta Floresta D'Oeste;11025077;EMEIEF MARIA DE SOUZA PEGO
RO;Alta Floresta D'Oeste;11024372;EMEIEF ANA NERY
RO;Ariquemes;11006722;ESCOLA ILMA DE FREITAS - APAE ARIQUEMES
RO;Ariquemes;11006757;CENTRO ESTADUAL DE EDUCACAO DE JOVENS E ADULTOS ARIQUEMES
RO;Ariquemes;11006765;ESCOLA ADVENTISTA DE ARIQUEMES
RO;Ariquemes;11006773;EEEFM CORA CORALINA
RO;Ariquemes;11006846;EEEF ALBINA MARCIO SORDI
RO;Ariquemes;11006854;EMEF ALDEMIR LIMA CANTANHEDE
RO;Ariquemes;11006889;EEEFM ANISIO TEIXEIRA
RO;Ariquemes;11006900;EMEIEF ARCO-IRIS
RO;Ariquemes;11007028;CEI CASTORZINHO
RO;Ariquemes;11007079;EMEF DR DIRCEU DE ALMEIDA
RO;Ariquemes;11007168;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM III
RO;Ariquemes;11007222;EMEIEF JORGE TEIXEIRA
RO;Ariquemes;11007249;EMEIEF HENRIQUE DIAS
RO;Ariquemes;11007257;EMEF FLORDINICE MAIA GOMES
RO;Ariquemes;11007281;EEEFM JARDIM DAS PEDRAS
RO;Ariquemes;11007346;EMEIEF JORGE LUIZ MOULAZ
RO;Ariquemes;11007443;EMEIEF MAFALDA RODRIGUES
RO;Ariquemes;11007451;EMEF MAGDALENA TAGLIAFERRO
RO;Ariquemes;11007508;EMEIEF MARIO QUINTANA
RO;Ariquemes;11007524;EEEFM MIGRANTES
RO;Ariquemes;11007605;EMEIEF PADRE ANGELO SPADARI
RO;Ariquemes;11007656;COLEGIO DINAMICO EDUCACAO BASICA
RO;Ariquemes;11007702;EMEIEF PROF PEDRO LOUBACK
RO;Ariquemes;11007710;EMEF PROFª EONISSE MARTINS
RO;Ariquemes;11007737;EMEIEF ROBERTO TURBAY
RO;Ariquemes;11007834;EMEIEF VINICIUS DE MORAES
RO;Ariquemes;11007885;EEEMTI HEITOR VILLA-LOBOS
RO;Ariquemes;11007893;EEEFM RICARDO CANTANHEDE
RO;Ariquemes;11007907;EMEIEF PROFª LAURA DE AVILA
RO;Ariquemes;11007923;CMEI BALAO MAGICO
RO;Ariquemes;11007931;EMEIEF CHAPEUZINHO VERMELHO
RO;Ariquemes;11007958;EMEIEF PINGO DE GENTE
RO;Ariquemes;11036753;CMEI MADRE TEREZA DE CALCUTA
RO;Ariquemes;11036800;EMEIEF SONHO MEU
RO;Ariquemes;11041439;EMEIEF PROFª MARIA INES ALVES DE FREITAS
RO;Ariquemes;11041986;EMEIEF PROF ENOQUE NUNES DA SILVA
RO;Ariquemes;11042001;EMEF FLORESTAN FERNANDES
RO;Ariquemes;11044454;ASSOCIACAO COMUNITARIA DA CRECHE MORANGUINHO
RO;Ariquemes;11044462;CENTRO EDUCACIONAL MONTEIRO LOBATO
RO;Ariquemes;11046007;EMEF SILVIO RODRIGUES
RO;Ariquemes;11047291;CENTRO EDUCACIONAL SESC ARIQUEMES
RO;Ariquemes;11048476;CMEI CRIANCA FELIZ
RO;Ariquemes;11048611;CMEI ARIKEM
RO;Ariquemes;11048620;EEEFM PROFESSORA CARMEM IONE DE ARAUJO
RO;Ariquemes;11049375;CEET - CENTRO DE EXCELENCIA EM EDUCACAO E TECNOLOGIA SENAI - JOSE FERNANDES DE MOURA
RO;Ariquemes;11049758;SENAC ARIQUEMES
RO;Ariquemes;11049910;COLEGIO EXCELENCIA
RO;Ariquemes;11050233;EEEFM PROFESSORA QUITERIA DE OLIVEIRA DA SILVA
RO;Ariquemes;11050586;CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO - AMAAR
RO;Ariquemes;11050772;EMEIEF PROFESSOR GESSI JANES SOARES MOREIRA
RO;Ariquemes;11050950;COLEGIO CRISTAO DE ARIQUEMES
RO;Ariquemes;11051183;CENTRO DE ENSINO DEKOLE
RO;Ariquemes;11051230;COLEGIO IMACULADO CORACAO DE MARIA
RO;Ariquemes;11051248;CENTRO DE EDUCACAO INFANTIL TANIA SACCOMAN TORRENTE
RO;Ariquemes;11051337;COLEGIO GUNNAR VINGREN
RO;Ariquemes;11052406;CENTRO DE EDUCACAO INFANTIL RENASCER
RO;Ariquemes;11064803;CMEI SONHO DE CRIANCA
RO;Ariquemes;11108800;IFRO - CAMPUS ARIQUEMES
RO;Cabixi;11033924;CEEJA 6 DE JULHO
RO;Cabixi;11034033;EMEI CEBOLINHA
RO;Cabixi;11034041;EMEIEF CECILIA MEIRELES
RO;Cabixi;11034050;EEEF CHICO MENDES
RO;Cabixi;11034173;EMEIEF MARCO IRIS
RO;Cabixi;11034270;EEEFM PLANALTO
RO;Cabixi;11034440;EEEFM JOSE DE ANCHIETA
RO;Cabixi;11039841;EMEIEF CHICO SOLDADO
RO;Cabixi;11050098;ESCOLA DE ENSINO ESPECIAL PROFESSORA LUCELAINE DA SILVEIRA - APAE
RO;Cacoal;11025670;CENTRO EDUCACIONAL MEMORINA ROSA CAMPOS
RO;Cacoal;11025697;CEEJA AIDA FIBIGER DE OLIVEIRA
RO;Cacoal;11025999;EMEIEF ANITA GARIBALDI
RO;Cacoal;11026014;EEEFM ANTONIO GONCALVES DIAS
RO;Cacoal;11026073;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM IX
RO;Cacoal;11026197;EEEFM CARLOS DRUMMOND DE ANDRADE
RO;Cacoal;11026235;EMTIEIEF CLAUDIO MANOEL DA COSTA
RO;Cacoal;11026278;EEEFM CORA CORALINA
RO;Cacoal;11026294;EMEIEF CRUZEIRO DO NORTE
RO;Cacoal;11026324;ESCOLA DANIEL BERG
RO;Cacoal;11026464;EEEF FREI CANECA
RO;Cacoal;11026499;EEEFM GRACILIANO RAMOS
RO;Cacoal;11026545;EEEF HONORINA LUCAS DE BRITO
RO;Cacoal;11026588;EIEEFM IZIDORO DE SOUZA MEIRELES
